序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅,snapshot_date
72,IT服务,-3.55,3732.45,665.02,-57.42,12,116,17.82,*ST易录,11.0,13.87,20260529
66,专用设备,-3.02,2865.81,624.24,-55.45,30,168,21.78,凯格精机,248.92,13.97,20260529
9,中药,1.3,957.91,114.13,12.5,54,13,11.91,三力制药,16.28,10.0,20260529
35,互联网电商,-1.04,543.66,58.49,-4.35,7,12,10.76,若羽臣,25.82,4.53,20260529
8,保险,1.47,308.69,109.87,-2.86,5,0,35.59,新华保险,59.7,2.24,20260529
53,元件,-2.12,3197.55,1926.62,-8.38,16,46,60.25,风华高科,53.03,9.03,20260529
83,光伏设备,-4.65,2714.03,661.93,-61.05,4,68,24.39,欧晶科技,25.77,9.99,20260529
86,光学光电子,-5.83,9784.98,1019.24,-140.3,9,97,10.42,得邦照明,28.78,10.02,20260529
15,公路铁路运输,0.86,984.32,51.12,6.29,24,7,5.19,吉林高速,3.04,4.11,20260529
90,其他电子,-6.4,1218.01,385.44,-32.79,1,33,31.64,汉朔科技,44.7,1.2,20260529
82,其他电源设备,-4.33,890.74,279.93,-35.67,4,29,31.43,通合科技,33.5,1.51,20260529
58,其他社会服务,-2.32,725.56,87.53,-9.05,10,31,12.06,国检集团,6.96,9.95,20260529
21,养殖业,-0.21,803.76,68.22,2.38,16,19,8.49,晓鸣股份,17.84,5.38,20260529
87,军工电子,-5.9,1387.78,437.82,-52.33,1,62,31.55,火炬电子,48.44,2.39,20260529
79,军工装备,-4.1,1682.02,529.06,-59.95,9,74,31.45,光电股份,26.88,5.62,20260529
26,农产品加工,-0.53,459.95,45.99,0.54,23,18,10.0,永顺泰,11.4,2.33,20260529
43,农化制品,-1.51,1099.42,143.38,-11.35,9,52,13.04,国光股份,9.3,2.2,20260529
54,包装印刷,-2.14,689.72,93.92,-7.06,7,39,13.62,佳合科技,16.83,4.53,20260529
69,化学制品,-3.17,2429.95,472.02,-42.44,25,150,19.43,凌玮科技,138.6,17.45,20260529
18,化学制药,0.36,2047.54,408.82,19.25,89,66,19.97,东亚药业,23.77,9.99,20260529
61,化学原料,-2.54,1295.22,160.05,-11.77,7,51,12.36,三孚股份,45.31,5.47,20260529
59,化学纤维,-2.36,1227.49,92.81,-12.33,4,25,7.56,*ST三房,1.42,5.18,20260529
38,医疗器械,-1.23,994.9,245.81,-6.7,36,98,24.71,赛诺医疗,22.3,20.02,20260529
44,医疗服务,-1.55,932.7,194.07,-2.22,13,42,20.81,睿智医药,8.72,3.32,20260529
12,医药商业,1.1,500.68,44.55,-0.32,26,5,8.9,华人健康,17.72,5.35,20260529
89,半导体,-6.22,6151.07,4879.46,-319.3,14,164,79.33,赛微电子,50.03,7.64,20260529
28,厨卫电器,-0.62,49.6,5.54,-0.11,5,4,11.17,奥普科技,10.88,2.06,20260529
80,塑料制品,-4.11,1840.23,346.19,-35.07,8,70,18.81,肯特股份,47.46,10.24,20260529
30,多元金融,-0.79,766.29,67.38,-5.24,12,12,8.79,南华期货,22.0,6.49,20260529
39,家居用品,-1.25,899.93,127.71,-4.65,30,67,14.19,新天力,45.2,270.8,20260529
45,小家电,-1.56,164.93,37.45,-4.05,6,18,22.71,利仁科技,82.88,6.27,20260529
76,小金属,-3.92,1312.45,581.78,-50.54,4,25,44.33,厦门钨业,54.37,3.76,20260529
46,工业金属,-1.61,4199.62,493.88,-20.05,11,43,11.76,和胜股份,26.47,10.02,20260529
47,工程机械,-1.66,884.88,126.3,-1.44,9,25,14.27,徐工机械,9.75,5.75,20260529
36,建筑材料,-1.07,1991.11,310.71,-9.16,29,43,15.61,韩建河山,6.12,10.07,20260529
31,建筑装饰,-0.93,4727.76,351.18,-11.22,57,85,7.43,深水规院,20.19,10.45,20260529
14,影视院线,0.92,979.66,75.95,3.19,13,6,7.75,横店影视,22.92,6.41,20260529
17,房地产,0.58,5345.4,276.95,-19.56,45,38,5.18,福星股份,2.59,10.21,20260529
42,教育,-1.46,258.5,16.98,-1.9,3,11,6.57,*ST高科,14.75,4.68,20260529
23,文化传媒,-0.35,2842.43,364.32,3.75,33,52,12.82,荣信文化,33.69,13.36,20260529
11,旅游及酒店,1.2,573.45,48.03,2.91,27,8,8.38,大连圣亚,37.6,4.47,20260529
22,服装家纺,-0.35,957.42,80.69,-3.4,34,37,8.43,九牧王,12.06,10.04,20260529
7,机场航运,1.48,1353.81,70.92,5.54,11,1,5.24,吉祥航空,11.9,3.3,20260529
67,橡胶制品,-3.02,267.06,41.55,-8.21,2,20,15.56,确成股份,16.16,2.86,20260529
27,汽车整车,-0.58,1112.09,177.97,-8.8,10,12,16.0,中国重汽,21.49,4.02,20260529
52,汽车服务及其他,-2.11,235.27,40.61,-3.61,2,20,17.26,爱玛科技,21.55,5.02,20260529
70,汽车零部件,-3.25,3708.23,750.82,-81.81,29,236,20.25,华锋股份,18.49,9.99,20260529
29,油气开采及服务,-0.65,545.29,51.18,-4.46,5,13,9.38,*ST准油,8.85,4.98,20260529
73,消费电子,-3.78,3272.94,1367.26,-58.77,14,81,41.77,泓禧科技,18.2,17.72,20260529
19,港口航运,0.29,1575.5,112.29,1.83,20,15,7.13,中远海特,7.8,3.45,20260529
48,游戏,-1.75,711.55,113.38,-9.26,3,21,15.93,姚记科技,18.81,0.91,20260529
3,煤炭开采加工,2.38,1997.19,194.08,5.44,32,1,9.72,华电能源,10.13,9.99,20260529
37,燃气,-1.2,412.75,34.42,-2.94,9,17,8.34,ST金鸿,4.37,5.05,20260529
32,物流,-0.98,734.48,60.31,-2.5,15,34,8.21,建发股份,9.69,4.08,20260529
56,环保设备,-2.19,359.69,53.17,-5.98,4,24,14.78,盛剑科技,34.29,10.01,20260529
49,环境治理,-1.83,2151.71,180.59,-11.04,30,78,8.39,中兰环保,33.73,7.56,20260529
20,生物制品,0.05,734.95,133.98,2.91,34,18,18.23,三生国健,64.44,8.69,20260529
2,电力,2.4,15974.6,1314.34,69.9,83,24,8.23,珈伟新能,5.72,11.28,20260529
85,电子化学品,-5.58,1499.43,675.41,-37.62,5,36,45.04,龙辰科技,45.8,15.66,20260529
84,电机,-4.84,505.67,115.02,-17.98,3,23,22.75,凯中精密,18.2,2.94,20260529
62,电池,-2.71,2982.23,1225.2,-55.46,19,86,41.08,浙江恒威,35.88,15.37,20260529
51,电网设备,-2.06,3906.04,733.63,-39.3,34,105,18.78,泓淋电力,19.57,19.99,20260529
57,白色家电,-2.28,947.07,257.71,-13.2,10,34,27.21,奇精机械,17.07,6.96,20260529
1,白酒,3.52,416.94,272.51,27.66,18,1,65.36,酒鬼酒,45.74,10.01,20260529
55,石油加工贸易,-2.15,1009.61,84.14,-3.81,2,24,8.33,中国石化,4.85,0.83,20260529
25,种植业与林业,-0.47,625.47,43.72,-2.12,14,15,6.99,*ST景谷,24.45,4.98,20260529
41,纺织制造,-1.45,364.37,35.97,-2.28,11,22,9.87,百隆东方,7.44,3.05,20260529
33,综合,-1.0,548.64,93.47,-15.62,4,11,17.04,特力A,15.66,9.97,20260529
13,美容护理,1.06,249.5,49.78,2.36,20,13,19.95,锦波生物,165.3,7.14,20260529
50,能源金属,-1.97,379.77,203.87,-5.44,1,11,53.68,永杉锂业,17.91,4.49,20260529
75,自动化设备,-3.83,1444.81,828.92,-81.32,11,84,57.37,东杰智能,24.94,20.02,20260529
77,计算机设备,-3.98,1354.89,429.75,-50.84,5,78,31.72,雷神科技,24.1,11.47,20260529
16,证券,0.71,3475.7,424.15,12.21,36,12,12.2,中信建投,24.39,5.58,20260529
40,贵金属,-1.35,777.89,204.85,-28.01,2,11,26.33,兴业银锡,39.7,0.28,20260529
34,贸易,-1.01,331.66,24.62,-1.9,4,10,7.42,中成股份,13.31,10.0,20260529
60,轨交设备,-2.38,632.28,60.34,-6.49,4,24,9.54,祥和实业,10.43,3.68,20260529
74,软件开发,-3.79,1938.69,520.39,-60.52,8,129,26.84,汇金科技,20.92,3.77,20260529
78,通信服务,-4.0,1542.35,236.32,-24.28,3,40,15.32,*ST宇顺,42.95,5.01,20260529
65,通信设备,-2.96,3054.68,2636.08,-31.12,15,76,86.3,长进光子,720.5,17.86,20260529
81,通用设备,-4.3,4041.23,970.15,-94.29,21,229,24.01,*ST禾信,116.98,20.0,20260529
64,造纸,-2.77,524.29,36.03,-4.17,4,19,6.87,华旺科技,9.28,1.53,20260529
88,金属新材料,-6.16,611.34,169.53,-19.33,1,33,27.73,江南新材,137.46,0.23,20260529
24,钢铁,-0.38,2384.96,115.45,-8.56,21,22,4.84,新兴铸管,4.49,7.16,20260529
5,银行,1.6,4100.07,347.46,74.01,41,1,8.47,重庆银行,12.02,5.9,20260529
4,零售,2.36,3435.84,250.13,10.31,53,15,7.28,东百集团,10.08,10.04,20260529
63,非金属材料,-2.76,194.06,120.08,-3.85,2,12,61.88,联瑞新材,167.69,4.01,20260529
68,风电设备,-3.15,854.07,165.25,-18.62,3,29,19.35,常友科技,87.32,7.23,20260529
6,食品加工制造,1.56,1055.0,120.65,-0.57,49,14,11.44,一致魔芋,20.32,12.51,20260529
10,饮料制造,1.29,705.55,114.23,7.39,34,12,16.19,百润股份,19.74,6.93,20260529
71,黑色家电,-3.31,315.3,36.32,-6.36,0,9,11.52,*ST高斯,16.96,-0.94,20260529
7,IT服务,3.3,3295.69,578.48,23.63,113,15,17.55,软通动力,39.65,20.01,20260601
48,专用设备,1.2,2488.88,534.95,-6.28,142,54,21.49,达刚控股,9.58,20.05,20260601
43,中药,1.32,818.88,93.38,2.94,54,13,11.4,昆药集团,9.47,6.05,20260601
10,互联网电商,3.02,487.55,60.2,0.49,15,3,12.35,壹网壹创,35.66,16.27,20260601
80,保险,-0.43,215.53,78.55,-4.48,1,3,36.44,中国平安,53.85,0.65,20260601
88,元件,-2.85,2964.39,1910.96,1.5,18,44,64.46,中京电子,18.87,10.03,20260601
70,光伏设备,0.21,2149.53,546.97,-3.31,41,32,25.45,国晟科技,18.39,9.99,20260601
78,光学光电子,-0.43,8417.63,819.32,3.85,57,49,9.73,*ST清越,1.07,10.31,20260601
51,公路铁路运输,1.13,900.61,47.94,2.97,27,3,5.32,江西长运,6.3,3.96,20260601
83,其他电子,-0.95,961.53,315.94,-3.28,13,21,32.86,洁美科技,75.05,8.45,20260601
74,其他电源设备,-0.17,737.8,269.76,3.72,13,20,36.56,金时科技,19.4,9.98,20260601
47,其他社会服务,1.21,623.36,81.03,4.46,29,12,13.0,实朴检测,70.45,12.54,20260601
6,养殖业,3.34,743.01,65.27,7.98,34,2,8.78,晓鸣股份,21.02,17.82,20260601
81,军工电子,-0.6,979.52,295.43,-12.13,24,39,30.16,ST亚光,4.76,14.42,20260601
75,军工装备,-0.19,1243.85,398.08,-13.75,48,34,32.0,新兴装备,30.16,9.99,20260601
8,农产品加工,3.23,524.5,55.28,3.15,39,3,10.54,欧福蛋业,9.72,17.53,20260601
19,农化制品,2.31,1055.91,143.02,8.6,55,6,13.54,新安股份,13.26,10.04,20260601
39,包装印刷,1.57,589.82,71.49,3.47,35,9,12.12,柏星龙,19.8,6.28,20260601
30,化学制品,1.85,2302.28,472.47,7.06,134,41,20.52,赞宇科技,11.94,10.05,20260601
66,化学制药,0.4,1824.32,351.88,-10.65,110,46,19.29,海翔药业,6.07,9.96,20260601
15,化学原料,2.57,1248.34,135.24,4.4,53,5,10.83,新金路,18.32,10.03,20260601
42,化学纤维,1.36,1026.99,85.38,3.83,22,7,8.31,海利得,5.53,7.38,20260601
56,医疗器械,0.89,859.34,232.02,-0.27,103,31,27.0,五洲医疗,40.31,13.87,20260601
73,医疗服务,-0.06,762.66,170.39,-4.21,33,22,22.34,大东方,3.83,5.8,20260601
21,医药商业,2.25,444.82,42.07,2.59,28,3,9.46,漱玉平民,14.66,6.0,20260601
90,半导体,-3.92,4763.91,3997.23,-145.64,20,159,83.91,安路科技,46.17,12.61,20260601
